scenario,family,M,T,R,missing,statistic,support_rate,refuted_rate,abstain_rate,ci_coverage,mean_est,H_true,label
dominance_hetero,null,9,400,3,complete,frozen_gain,0.0,0.0,0.0067,0.0067,-0.09907,0.0,FPR
dominance_hetero,null,9,400,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.09919,0.0,FPR
dominance_hetero,null,9,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.07,-0.07483,0.0,FPR
dominance_hetero,null,9,400,5,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.0954,0.0,FPR
dominance_hetero,null,9,400,5,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.10059,0.0,FPR
dominance_hetero,null,9,400,5,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.09983,0.0,FPR
dominance_hetero,null,9,400,5,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0267,-0.07521,0.0,FPR
dominance_hetero,null,9,400,10,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.06764,0.0,FPR
dominance_hetero,null,9,400,10,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.09948,0.0,FPR
dominance_hetero,null,9,400,10,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.09951,0.0,FPR
dominance_hetero,null,9,400,10,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0133,-0.06373,0.0,FPR
dominance_hetero,null,9,400,20,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.03994,0.0,FPR
dominance_hetero,null,9,400,20,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.10134,0.0,FPR
dominance_hetero,null,9,400,20,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.10056,0.0,FPR
dominance_hetero,null,9,400,20,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0067,-0.04982,0.0,FPR
dominance_hetero,null,3,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.07492,0.0,FPR
dominance_hetero,null,3,400,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.07842,0.0,FPR
dominance_hetero,null,3,400,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.07899,0.0,FPR
dominance_hetero,null,3,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.2,-0.05353,0.0,FPR
dominance_hetero,null,20,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.11477,0.0,FPR
dominance_hetero,null,20,400,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.12702,0.0,FPR
dominance_hetero,null,20,400,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.12781,0.0,FPR
dominance_hetero,null,20,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.16,-0.07032,0.0,FPR
dominance_hetero,null,9,100,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.10624,0.0,FPR
dominance_hetero,null,9,100,3,complete,frozen_gain,0.0,0.0,0.22,0.2333,-0.09117,0.0,FPR
dominance_hetero,null,9,100,3,complete,crossfit_gain,0.0,0.0,0.1133,0.1133,-0.09168,0.0,FPR
dominance_hetero,null,9,100,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.5467,-0.07102,0.0,FPR
dominance_hetero,null,9,1000,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.1107,0.0,FPR
dominance_hetero,null,9,1000,3,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.10042,0.0,FPR
dominance_hetero,null,9,1000,3,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.10004,0.0,FPR
dominance_hetero,null,9,1000,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.07333,0.0,FPR
dominance_hetero,null,9,400,3,mcar5,plugin_descriptive,0.6267,0.0,0.3733,0.0,0.11056,0.0,FPR
dominance_hetero,null,9,400,3,mcar5,frozen_gain,0.0067,0.0,0.2933,0.3,-0.08286,0.0,FPR
dominance_hetero,null,9,400,3,mcar5,crossfit_gain,0.0,0.0,0.18,0.18,-0.08045,0.0,FPR
dominance_hetero,null,9,400,3,mcar5,clone_calibrated_v3,0.0,0.0,1.0,0.7733,-0.07259,0.0,FPR
dominance_hetero,null,9,400,3,mnar_hard3,plugin_descriptive,0.1067,0.0,0.8933,0.0,0.11193,0.0,FPR
dominance_hetero,null,9,400,3,mnar_hard3,frozen_gain,0.0,0.0,0.1333,0.1533,-0.09018,0.0,FPR
dominance_hetero,null,9,400,3,mnar_hard3,crossfit_gain,0.0,0.0,0.04,0.04,-0.08661,0.0,FPR
dominance_hetero,null,9,400,3,mnar_hard3,clone_calibrated_v3,0.0,0.0,1.0,0.7667,-0.05757,0.0,FPR
cross_mid,alternative,9,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.11191,0.008368914785285042,power
cross_mid,alternative,9,400,3,complete,frozen_gain,0.01,0.0,0.9733,,0.00479,0.008368914785285042,power
cross_mid,alternative,9,400,3,complete,crossfit_gain,0.0,0.0,0.9833,,0.00438,0.008368914785285042,power
cross_mid,alternative,9,400,3,complete,clone_calibrated_v3,0.0133,0.0,0.9867,,1e-05,0.008368914785285042,power
cross_mid,alternative,9,400,5,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.11047,0.008310372481064027,power
cross_mid,alternative,9,400,5,complete,frozen_gain,0.0067,0.0,0.9667,,0.00243,0.008310372481064027,power
cross_mid,alternative,9,400,5,complete,crossfit_gain,0.0,0.0,0.98,,0.00337,0.008310372481064027,power
cross_mid,alternative,9,400,5,complete,clone_calibrated_v3,0.0067,0.0,0.9933,,-0.00039,0.008310372481064027,power
cross_mid,alternative,9,400,10,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.09617,0.008358357636350422,power
cross_mid,alternative,9,400,10,complete,frozen_gain,0.0,0.0,0.98,,0.00262,0.008358357636350422,power
cross_mid,alternative,9,400,10,complete,crossfit_gain,0.0,0.0,1.0,,0.00293,0.008358357636350422,power
cross_mid,alternative,9,400,10,complete,clone_calibrated_v3,0.0,0.0,1.0,,-0.00111,0.008358357636350422,power
cross_mid,alternative,9,400,20,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.07565,0.008308647615718536,power
cross_mid,alternative,9,400,20,complete,frozen_gain,0.0,0.0,1.0,,0.00317,0.008308647615718536,power
cross_mid,alternative,9,400,20,complete,crossfit_gain,0.0,0.0,1.0,,0.00328,0.008308647615718536,power
cross_mid,alternative,9,400,20,complete,clone_calibrated_v3,0.0,0.0,1.0,,-0.00195,0.008308647615718536,power
cross_mid,alternative,3,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.09498,0.010852193781694313,power
cross_mid,alternative,3,400,3,complete,frozen_gain,0.0,0.0,0.9733,,0.00208,0.010852193781694313,power
cross_mid,alternative,3,400,3,complete,crossfit_gain,0.0133,0.0,0.9533,,0.00167,0.010852193781694313,power
cross_mid,alternative,3,400,3,complete,clone_calibrated_v3,0.02,0.0,0.98,,0.00397,0.010852193781694313,power
cross_mid,alternative,20,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.10882,0.007956914331535036,power
cross_mid,alternative,20,400,3,complete,frozen_gain,0.0067,0.0,0.9733,,0.00238,0.007956914331535036,power
cross_mid,alternative,20,400,3,complete,crossfit_gain,0.0,0.0,0.9733,,0.00217,0.007956914331535036,power
cross_mid,alternative,20,400,3,complete,clone_calibrated_v3,0.0067,0.0,0.9933,,-0.00032,0.007956914331535036,power
cross_mid,alternative,9,100,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.09927,0.008258230720588787,power
cross_mid,alternative,9,100,3,complete,frozen_gain,0.0133,0.0,0.9267,,0.0052,0.008258230720588787,power
cross_mid,alternative,9,100,3,complete,crossfit_gain,0.0133,0.0,0.9533,,0.00506,0.008258230720588787,power
cross_mid,alternative,9,100,3,complete,clone_calibrated_v3,0.02,0.0,0.98,,0.00049,0.008258230720588787,power
cross_mid,alternative,9,1000,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.11637,0.008354493056018741,power
cross_mid,alternative,9,1000,3,complete,frozen_gain,0.0,0.0,0.98,,0.00291,0.008354493056018741,power
cross_mid,alternative,9,1000,3,complete,crossfit_gain,0.0,0.0,0.9733,,0.00286,0.008354493056018741,power
cross_mid,alternative,9,1000,3,complete,clone_calibrated_v3,0.0,0.0,1.0,,-0.00073,0.008354493056018741,power
cross_mid,alternative,9,400,3,mcar5,plugin_descriptive,0.6467,0.0,0.3533,0.0,0.11192,0.008328245552175146,power
cross_mid,alternative,9,400,3,mcar5,frozen_gain,0.02,0.0,0.9267,,0.00206,0.008328245552175146,power
cross_mid,alternative,9,400,3,mcar5,crossfit_gain,0.0067,0.0,0.96,,0.00291,0.008328245552175146,power
